sampID,nosz1,nosz2,nirs1,nirs2,nirk1,nirk2,nrfa11,nrfa12,16S,16S2,nrfa21,nrfa22,original_sample_ID,site_ID,sample_period,crop,treatment,trt_type
DNRA16_105,,,0.086879531,-0.242674872,-0.37518141,-0.040168439,-0.086572616,0.113749229,0.114539597,-0.051738494,-0.03268617,-0.060804134,BC PG 31,Biochar,Peak growth,Corn,0+No Biochar,Conventional
DNRA16_106,,,,,0.30127317,0.096723414,-0.114572615,-0.000909108,0.001209657,-0.101298339,-0.000224991,-0.085559339,BC PG 32,Biochar,Peak growth,Corn,0+No Biochar,Conventional
DNRA16_107,-0.187226932,-0.1028942,,,-0.299337276,-0.175495218,-0.106788936,0.133699803,0.07988661,-0.002198961,0.012105404,-0.079199895,BC PG 33,Biochar,Peak growth,Corn,0+No Biochar,Conventional
DNRA16_108,0.225992725,-0.081747638,0.176571674,-0.010617866,-0.228140432,-0.006673626,-0.115068153,0.11375207,0.118600461,-0.034826112,0.003150472,-0.08525709,BC PG 34,Biochar,Peak growth,Corn,0+No Biochar,Conventional
DNRA16_109,0.154906995,0.171194331,,,-0.182263876,-0.096104636,-0.073904754,-0.06323157,0.011326166,-0.064325894,0.006931048,-0.063185117,BC PG 41,Biochar,Peak growth,Corn,240+No Biochar,Conventional
DNRA16_110,,,,,-0.059317435,0.307309938,-0.087605199,-0.097435574,-0.024621192,-0.072769095,0.01154186,-0.082156979,BC PG 42,Biochar,Peak growth,Corn,240+No Biochar,Conventional
DNRA16_111,-0.045548796,0.065604028,,,,,-0.066510113,0.021539092,0.056890193,-0.07072279,-0.047390527,-0.129062937,BC PG 43,Biochar,Peak growth,Corn,240+No Biochar,Conventional
DNRA16_112,0.05730526,0.153085334,0.03557751,0.073979449,-0.193163096,0.093933586,0.021319529,-0.016843792,0.05559986,-0.065859285,0.007771202,-0.040003692,BC PG 44,Biochar,Peak growth,Corn,240+No Biochar,Conventional
DNRA16_113,0.28933937,-0.054839618,,,0.204423789,-0.365096585,-0.048811351,0.386476715,0.32985238,0.017551255,-0.426280334,0.121217553,NT PG 11,PZM,Peak growth,Corn,PZM corn,Conservation - residue
DNRA16_114,-0.018291515,0.151648151,0.291152776,0.073095308,-0.371762178,-0.160587336,-0.10113091,0.231523269,0.185877283,-0.079016965,-0.023080278,-0.077654182,NT PG 12,PZM,Peak growth,Corn,PZM corn,Conservation - residue
DNRA16_115,0.037748461,-0.029837335,-0.026759141,-0.156174069,0.03575384,-0.039940517,-0.154178995,0.202802186,0.0147586,-0.123663901,-0.240276233,0.015793923,NT PG 13,PZM,Peak growth,Corn,PZM corn,Conservation - residue
DNRA16_116,-0.005787007,-0.024470687,0.255043903,0.166662621,-0.00414618,0.084839987,-0.04515846,0.038761705,-0.020211527,-0.099715935,-0.016837476,-0.011832627,NT PG 14,PZM,Peak growth,Corn,PZM corn,Conservation - residue
DNRA16_117,0.093222753,0.117721005,,,-0.085630633,0.38724918,0.147127149,-0.212127193,-0.255272732,-0.022064237,0.052370994,-0.049588132,NT PG 21,No-till,Peak growth,Corn,NT corn,Conservation - no-till
DNRA16_118,-0.080635691,0.134908059,,,-0.061393636,0.369930474,0.053490986,-0.276148381,-0.205442942,-0.061540592,0.080096741,-0.039943253,NT PG 22,No-till,Peak growth,Corn,NT corn,Conservation - no-till
